Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,value11_12,value12_13,description,source_name,source_url,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Australian Baccalaureate,,0,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Indigenous Ranger Cadetships,,850,"1,325",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,National Asian Languages in Schools,,"4,635",461,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Grants and Aw ards,,"4,035","4,076",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,National School Chaplaincy Program,,"74,000","74,000",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Helping Children w ith Autism,,"5,354","5,434",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Quality Outcomes,,"50,539","58,498",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Framework for Open Learning,,"2,875","2,984",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Local Schools Working Together,,"10,000",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Student Resilience and Wellbeing,,"1,911","1,234",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Review of School Funding,,0,"4,793",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,One Laptop Per Child,,"11,700",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Maths and Science Participation,,0,"3,100",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Indigenous Education,,"48,790","30,821",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Trade Training Centres (Non-Government),,,"55,025","84,249",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Digital Education Revolution,Digtal Education Revolution Project Pool,,"9,242","6,000",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Digital Education Revolution,Digital Education Revolution (Non-Government),,"74,000","74,000",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,National Action Plan on Literacy and Numeracy,,,"6,800","162,338",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Program 2.7 Education Infrastructure,Building the Education Revolution (Non-Government),,"93,419",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Smarter Schools: Improving Teacher Quality National Partnership,Teacher Quality,,"15,640","13,401",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Program 2.10 More Support for Students with Disabilities,Students w ith Disabilities (COPE),,554,554,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Program 2.10 More Support for Students with Disabilities,Students w ith Disabilities (Non-Government),,"17,066","17,066",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Youth Support,Youth Attainment and Transitions National Partnership,,"113,402","114,360",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Youth Support,Youth Engagement,,"9,669","11,419",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Youth Support,National Youth Affairs Research Component,,240,240,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Student Assistance,ABSTUDY - Secondary,,"141,235","133,511",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Student Assistance,ABSTUDY - Tertiary,,"78,162","83,261",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Student Assistance,Assistance for Isolated Children,,"57,601","63,070",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Student Assistance,Superannuation payments for ATAS,,5,5,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Empowering Local Schools,Empowering Local Schools,,"1,250",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Empowering Local Schools,Empowering Local Schools (Non-Government),,"18,613",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Rewards for School Improvement,Rew ards for School Improvement,,"5,785","5,471",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Rewards for School Improvement,Rew ards for School Improvement (Non- Government),,0,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,National Rewards for Great Teachers,National Rew ards for Great Teachers,,"8,717","1,743",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Job Services Australia,,"1,490,135","1,544,929",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Jobs Fund,,"38,800",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,National Green Jobs Corps,,"18,750",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Pacific Seasonal Workers Program,,0,"1,148",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Productivity Education and Training Fund,,"10,000","10,000",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,"Regional Education, Skills and Jobs Plans",,442,442,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Mature Age Participation - job seeker assistance,,0,"1,545",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Employment Services,Productive Ageing Package,,"5,102","4,455",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Indigenous Employment,Indigenous Employment Program,,"157,713","172,576",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Disability Employment Services,Disability Employment Services,,"824,310","817,393",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Disability Employment Services,Employment Assistance and Other Services,,"37,398","37,963",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Remote Jobs and Communities Program,Remote Participation and Employment Services,,0,168,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Remote Jobs and Communities Program,Remote Youth Leadership and Development Corp,,0,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Compensation and Debt Relief,,198,198,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Mobility Allow ance,,"139,686","143,501",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,New start Allow ance,,"6,590,474","7,766,968",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Parenting Payment Single,,"4,737,198","4,247,628",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Parenting Payment Partnered,,"1,062,116","1,017,422",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Partner Allow ance Benefit,,"17,704","10,995",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Partner Allow ance Pension,,"157,831","99,661",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Pensioner Education Supplement,,"81,095","73,112",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Sickness Allow ance,,"91,288","92,485",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Utilities Allow ance,,"20,400","19,176",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Widow Allowance,,"401,691","367,536",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Employment & Training services,Working Age Payments,Youth Allow ance (Other),,"751,484","922,677",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Employee Assistance,General Employee Entitlements and Redundancy Scheme,,"199,386","202,975",General Employee Entitlements and Redundancy Scheme safety net payment scheme established to assist employees who have lost their employment due to the liquidation or bankruptcy of their employer and who are owed certain employee entitlements.,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Employee Assistance,Coal Mining Industry Commission,,"152,423","152,423",Coal Mining Industry (Long Service Leave) Administration Act 1992 financing arrangements under this Act the cost of portable long service leave entitlements is managed through a central fund administered by the Coal Mining Industry (Long Service Leave Funding) Corporation. Monthly levy collection transfers are made from the consolidated revenue fund to the central fund.,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workplace Assistance,Protected Action Ballots Scheme,,"1,600","1,600",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workplace Assistance,Home Workers Code of Practice Program,,250,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workplace Assistance,International Labour Organisation Subscription,,"8,903","8,262",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workplace Assistance,Social and Community Workers Education and Information Program,,400,800,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workers Compensation Payments,Comcare payments,,"14,403","6,300",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workers Compensation Payments,Asbestos Compensation Payments,,"23,270","27,890",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations","Safer, fairer and more productive workplaces ",Workers Compensation Payments,Workers Compensation Payments,,"34,790","39,661",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Tertiary Education Quality and Standards Agency,,"1,125",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Indigenous Higher Education Advisory Council,,283,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Higher Education Special Projects,,82,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Commonw ealth Grants Scheme,,"2,576,886",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Higher Education Participation and Partnerships Program,,"49,007",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Disability Support Program,,"6,008",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Indigenous Support Program,,"18,321",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Diversity and Structural Adjustment,,"23,602",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Quality Initiatives,,"13,078",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Open Learning Initiatives,,245,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,National Institutes,,"91,404",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Commonw ealth Scholarships,,"7,017",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Higher Education Special Projects (Capital Development Pool),,"24,947",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Support,Education Investment Fund,,"91,141",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Higher Education Loan Program,Higher Education Loan Program,,"756,831",0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Tertiary education,Tertiary Student Assistance,YouthAllowanceCommunication,,700,0,,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
